formula,target
Co4Nb4P4,0.29
Ga2Pt,0.41
Fe4Ge4,0.27
CMo,0.31
Cu4N12,0.29
RuSc,0.34
AgSe,0.51
CuNd2O4,0.31
H2Ce,0.29
Mn20,0.36
SmZn5,0.28
EuP2Pd2,0.28
Fe8Re12,0.32
Mg4Th2,0.56
Np2O2S2,0.32
Ir2Mn6,0.3
InIr2Mg,0.3
AlRh2Zn,0.29
CaS3Sn,-6.28
CsF6Sb,0.34
Co3Zn,0.35
YZr,0.24
PTm3,0.35
NaRb3,0.41
FeO3Rb,0.46
HgLi2Sn,0.42
Ge2Ir2Sr,0.25
Ga4Ho2Pd2,0.28
DyHg2Pm,0.43
CeYZn2,0.16
O4Os2,0.34
CIr,-102.89
CB2N,0.25
CoMnSe,0.33
CTc,0.41
Nd2Sb2Te2,0.32
Ga4ScTi2,0.25
Nb4Rh4Si4,0.28
AgF6Ti,0.14
C2Yb,0.44
Ni4ZnZr,0.31
Cr2Ge6Pr2,0.21
Ba2MgO6U,0.28
Co4O8Pt4,0.35
In16S24,0.33
ClRb,0.28
Cd6Sc2,0.31
Al20O48Y12,0.25
Er2Li2S4,0.22
O2Te2Th2,0.33
Ga4Te6,0.22
Cd8Ge4O16,0.35
AuMgSn,0.34
CsF3Fe,0.2
O8Sc2Ta2,0.32
O12W4,0.32
Cl6Cs2Cu2,0.65
Ni9Y3,0.33
Pd30Ta10,0.33
Co8S8Sb8,0.22
BTeZr,0.53
O4Rh2,0.32
CuLiS2,0.32
Ga2Lu2O6,0.29
BaCd2P2,0.24
F6PdPt,0.26
AsLiRh2,0.31
Ac4,0.25
Cr,0.69
GaMgPm2,0.29
Cu2S2Tl,0.33
NbScTc2,0.34
Ca2O4Si,0.23
Au3RbSe2,0.12
Sr,0.27
CaO3Rb,0.84
AsNaO3,0.04
H3Np,0.55
Na3PS4,0.39
AgBr3Cs,0.32
BiHo,0.81
S2W2,0.31
N3OTa2,0.33
Sb2Te2Th2,0.3
